Symbol,Sector,Industry,Cap_Class
KHADIM,Consumer Durables,Footwear,Small Cap
KHAICHEM,Chemicals,Fertilizers,Small Cap
KHAITANLTD,Consumer Durables,Consumer Electronics,Small Cap
KICL,Financial Services,Investment Company,Small Cap
KIMS,Healthcare,Hospital,Large Cap
KINGFA,Capital Goods,Plastic Products - Industrial,Mid Cap
KIOCL,Metals & Mining,Sponge Iron,Mid Cap
KIRIINDUS,Chemicals,Dyes And Pigments,Small Cap
KIRLOSBROS,Capital Goods,"Compressors, Pumps & Diesel Engines",Mid Cap
KIRLOSENG,Capital Goods,"Compressors, Pumps & Diesel Engines",Mid Cap
KIRLOSIND,Capital Goods,Other Industrial Products,Small Cap
KIRLPNU,Capital Goods,"Compressors, Pumps & Diesel Engines",Mid Cap
KITEX,Textiles,Garments & Apparels,Small Cap
KKCL,Textiles,Garments & Apparels,Small Cap
KMEW,Services,Shipping,Small Cap
KNAGRI,FMCG,Edible Oil,Small Cap
KNRCON,Construction,Civil Construction,Small Cap
KOKUYOCMLN,FMCG,Stationary,Small Cap
KOLTEPATIL,Realty,"Residential, Commercial Projects",Small Cap
KOPRAN,Healthcare,Pharmaceuticals,Small Cap
KOTAKBANK,Financial Services,Private Sector Bank,Large Cap
KOTHARIPET,Chemicals,Specialty Chemicals,Small Cap
KOTHARIPRO,Services,Trading & Distributors,Small Cap
KPEL,Construction,Civil Construction,Small Cap
KPIGREEN,Power,Power Generation,Mid Cap
KPIL,Construction,Civil Construction,Mid Cap
KPITTECH,Information Technology,Computers - Software & Consulting,Mid Cap
KPRMILL,Textiles,Other Textile Products,Large Cap
KRBL,FMCG,Other Agricultural Products,Mid Cap
KREBSBIO,Healthcare,Pharmaceuticals,Small Cap
KRISHANA,Chemicals,Fertilizers,Small Cap
KRISHIVAL,FMCG,Packaged Foods,Small Cap
KRISHNADEF,Capital Goods,Aerospace & Defense,Small Cap
KRITI,Capital Goods,Plastic Products - Industrial,Small Cap
KRITINUT,FMCG,Edible Oil,Small Cap
KRN,Capital Goods,Other Industrial Products,Mid Cap
KRONOX,Chemicals,Specialty Chemicals,Small Cap
KROSS,Automobile and Auto Components,Auto Components & Equipments,Small Cap
KRSNAA,Healthcare,Healthcare Service Provider,Small Cap
KRYSTAL,Services,Diversified Commercial Services,Small Cap
KSB,Capital Goods,"Compressors, Pumps & Diesel Engines",Mid Cap
KSCL,FMCG,Other Agricultural Products,Small Cap
KSHINTL,Metals & Mining,mining / minerals / metals,Small Cap
KSL,Capital Goods,Iron & Steel Products,Small Cap
KSOLVES,Information Technology,Computers - Software & Consulting,Small Cap
KSR,Services,trading,Small Cap
KTKBANK,Financial Services,Private Sector Bank,Mid Cap
KUANTUM,Forest Materials,Paper & Paper Products,Small Cap
LAGNAM,Consumer Services,Speciality Retail,Small Cap
LALPATHLAB,Healthcare,Healthcare Service Provider,Large Cap
LAMBODHARA,Textiles,Other Textile Products,Small Cap
LANCORHOL,Realty,"Residential, Commercial Projects",Small Cap
LANDMARK,Automobile and Auto Components,Auto -Dealer,Small Cap
LAOPALA,Consumer Durables,Glass - Consumer,Small Cap
LATENTVIEW,Information Technology,Computers - Software & Consulting,Mid Cap
LAURUSLABS,Healthcare,Pharmaceuticals,Large Cap
LAXMIDENTL,Financial ServHealthcareices,healthcare,Small Cap
LAXMIINDIA,Financial Services,Financial Institution,Small Cap
LEMERITE,Textiles,Garments & Apparels,Small Cap
LEMONTREE,Consumer Services,Hotels & Resorts,Mid Cap
LENSKART,FMCG,Personal Care,Large Cap
LEXUS,Consumer Durables,Ceramics,Small Cap
LFIC,Financial Services,Non Banking Financial Company (NBFC),Small Cap
LGBBROSLTD,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
LGEINDIA,consumer discretionary,electronics - consumer,Large Cap
LGHL,Construction,Civil Construction,Small Cap
LIBERTSHOE,Consumer Durables,Footwear,Small Cap
LICHSGFIN,Financial Services,Housing Finance Company,Large Cap
LICI,Financial Services,Life Insurance,Large Cap
LIKHITHA,Construction,Civil Construction,Small Cap
LINC,FMCG,Stationary,Small Cap
LINCOLN,Healthcare,Pharmaceuticals,Small Cap
LINDEINDIA,Chemicals,Industrial Gases,Large Cap
LLOYDSENGG,Capital Goods,Industrial Products,Mid Cap
LLOYDSENT,Metals & Mining,Trading - Metals,Mid Cap
LLOYDSME,Metals & Mining,Sponge Iron,Large Cap
LMW,Capital Goods,Industrial Products,Mid Cap
LODHA,Realty,"Residential, Commercial Projects",Large Cap
LOKESHMACH,Capital Goods,Industrial Products,Small Cap
LORDSCHLO,Chemicals,Commodity Chemicals,Small Cap
LOTUSDEV,Realty,construction,Mid Cap
LOTUSEYE,Healthcare,Hospital,Small Cap
LOVABLE,Textiles,Garments & Apparels,Small Cap
LOYALTEX,Textiles,Other Textile Products,Small Cap
LT,Construction,Civil Construction,Large Cap
LTF,Financial Services,Investment Company,Large Cap
LTFOODS,FMCG,Other Agricultural Products,Mid Cap
LTIM,Information Technology,Computers - Software & Consulting,Mid Cap
LTTS,Information Technology,IT Enabled Services,Large Cap
LUMAXIND,Automobile and Auto Components,Auto Components & Equipments,Small Cap
LUMAXTECH,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
LUPIN,Healthcare,Pharmaceuticals,Large Cap
LUXIND,Textiles,Garments & Apparels,Small Cap
LXCHEM,Chemicals,Specialty Chemicals,Small Cap
LYKALABS,Healthcare,Pharmaceuticals,Small Cap
M&M,Automobile and Auto Components,Passenger Cars & Utility Vehicles,Large Cap
M&MFIN,Financial Services,Non Banking Financial Company (NBFC),Large Cap
MAANALU,Metals & Mining,Aluminium,Small Cap
MACPOWER,Capital Goods,Heavy Electrical Equipment,Small Cap
MADHAV,Consumer Durables,Granites & Marbles,Small Cap
MADRASFERT,Chemicals,Fertilizers,Small Cap
MAGADSUGAR,FMCG,Sugar,Small Cap
MAHABANK,Financial Services,Public Sector Bank,Large Cap
MAHAPEXLTD,Financial Services,Other Financial Services,Small Cap
MAHEPC,Capital Goods,Industrial Products,Small Cap
MAHESHWARI,Services,Logistics Solution Provider,Small Cap
MAHLIFE,Realty,"Residential, Commercial Projects",Mid Cap
MAHLOG,Services,Logistics Solution Provider,Small Cap
MAHSCOOTER,Financial Services,Investment Company,Mid Cap
